factor,legacy_member,new75_member,membership,legacy_category,legacy_direction,legacy_period,legacy_ic,legacy_t,new_direction,new_period,new_is_ic,new_is_t,new_is_q,new_oos_ic,new_oos_ic_hac_t,new_oos_ols_hac_t,new_oos_days,new_decision_reason
intraday_abs_ret_ratio_20d,False,True,new_only,,,,,,1,5,0.10356567654372881,2.767210790442469,0.07881849250831452,0.015006263992155626,0.5488629398348919,0.16544777495966448,37,passed_is_and_oos_direction
intraday_amihud_cross_z_20d,True,False,legacy_only,validated_candidate,1,20,0.172,4.05,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_amihud_resid_vol_20d,True,False,legacy_only,validated_candidate,1,20,0.186,5.74,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_amihud_sector_relative_20d,False,True,new_only,,,,,,-1,20,-0.09803438080059558,-3.3372284032801414,0.028059805499751185,-0.013957204739196356,-0.4657021824211258,-1.0711574466438871,22,passed_is_and_oos_direction
intraday_amihud_trend_20d,True,False,legacy_only,validated_candidate,1,5,0.056,3.14,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_amihud_vol_corr_20d,False,True,new_only,,,,,,1,20,0.17395578962860214,4.549362533301656,0.0014917011340239627,0.06481005524102033,0.7392170556473255,1.1163605299019388,22,passed_is_and_oos_direction
intraday_amihud_vol_partial_20d,False,True,new_only,,,,,,-1,20,-0.17072375422199332,-3.2008995885579266,0.036130882264849985,-0.10235332483522201,-1.9278971877579245,-2.254101808439154,22,passed_is_and_oos_direction
intraday_amihud_vol_ratio_20d,True,False,legacy_only,validated_candidate,1,20,0.096,4.12,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_autocorr_ret_20d,False,True,new_only,,,,,,1,10,0.19506672610956843,3.2286447315513924,0.027817540596632127,0.019505219546297588,0.39257267428683584,0.39274785708047016,32,passed_is_and_oos_direction
intraday_basis_momentum_20d,True,True,both,validated_candidate,1,20,0.136,4.18,1,20,0.13495311887730027,2.9751930291590987,0.05777800284736038,0.15815947184296889,5.774694738618073,7.964609352903241,22,passed_is_and_oos_direction
intraday_big_trade_timing_20d,False,True,new_only,,,,,,-1,20,-0.25267288057418374,-3.7591698567551752,0.011413214784552933,-0.30781795370731807,-8.264561698308349,-7.137208907107056,22,passed_is_and_oos_direction
intraday_buy_aggression_20d,False,True,new_only,,,,,,1,10,0.1907714937899717,2.78398772115916,0.05875074222663043,0.06761670511322995,1.0745156978561208,1.0435690665280721,32,passed_is_and_oos_direction
intraday_buy_sustain_20d,False,True,new_only,,,,,,1,10,0.2168660976803366,2.9905326947252218,0.04258671556781261,0.04372093060436176,0.7410357051507384,0.9719106298691682,32,passed_is_and_oos_direction
intraday_close_drift_20d,False,True,new_only,,,,,,1,20,0.1547930319742551,4.510042499307551,0.0016459702312583075,0.17066802778328552,3.4440133786720954,2.6947526692487234,22,passed_is_and_oos_direction
intraday_cross_vol_20d,True,False,legacy_only,validated_candidate,1,20,0.155,4.13,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_csad_sigma120_20d,True,False,legacy_only,new_candidate,1,20,0.11,3.03,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_depth_trend_20d,True,False,legacy_only,validated_candidate,1,20,0.106,3.57,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_df_test_20d,False,True,new_only,,,,,,-1,10,-0.0923333617807772,-2.648743179581591,0.0921518646882299,-0.102318522050458,-3.722903392956009,-4.260067534613452,32,passed_is_and_oos_direction
intraday_diff_autocorr_long_20d,True,True,both,new_candidate,1,20,0.18,4.81,1,10,0.17695165324658776,3.0438165012715457,0.03173511065656843,0.04418969125700648,0.8253539008791384,0.796185269392285,32,passed_is_and_oos_direction
intraday_direction_persistence_20d,False,True,new_only,,,,,,1,10,0.1765692619766889,2.97883267750559,0.039564586295671264,0.03051305011258679,0.632344361140164,0.7781353773168053,32,passed_is_and_oos_direction
