factor,family,status,frequency,registered_horizons,selected_period,approved_periods,direction,admitted_at,source_run,research_start,research_cutoff,ic,t,q,evidence_sha256
intraday_amt_ratio_entropy_30m_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.12882729426824938,3.21759669372707,0.004319016806749664,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_amt_ratio_entropy_60m_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.12629213506104503,3.119437688394095,0.005984915527159625,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_basis_momentum_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.14646041623585399,3.85322637343548,0.0004258716962342899,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_breakout_retest_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.19485605348386048,2.9859728841081243,0.00509109746225853,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_buy_sustain_20d,intraday_advanced,effective,daily,5|10|20,10,[10],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.15177064083299394,3.1588909935985034,0.005237229181212606,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_close_location_dispersion_20d,intraday_advanced,effective,daily,5|10|20,10,[10],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.12140035625649649,-3.1967866656435424,0.004044168435471256,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_close_location_weighted_dispersion_20d,intraday_advanced,effective,daily,5|10|20,10,[10],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.10721223155611831,-3.2153830565989607,0.0033292213292386826,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_diff_autocorr_long_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.16664510856804937,3.123816770606291,0.004454686786968087,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_downside_path_concentration_20d,intraday_advanced,effective,daily,5|10|20,20,[20],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.15423663534539928,-4.083439616926957,0.00017249728493128245,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_imbalance_vol_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.12438345730298804,4.1914788799254525,0.00011062259141909092,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
