factor,legacy_category,legacy_direction,legacy_period,legacy_ic,legacy_t
intraday_jump_intensity_20d,production_baseline,-1,,,
intraday_price_peak_count_20d,production_baseline,1,,,
intraday_realised_skewness_20d,production_baseline,1,,,
intraday_dtws_20d,production_baseline,1,,,
intraday_drip_stone_20d,production_baseline,-1,,,
intraday_peak_ridge_ratio_20d,production_baseline,-1,,,
intraday_zero_ret_freq_20d,validated_candidate,-1,20,-0.317,11.95
intraday_open_close_drift_20d,validated_candidate,1,20,0.194,6.8
intraday_volatility_clustering_20d,validated_candidate,-1,20,-0.193,6.54
intraday_oi_vol_corr_daily_20d,validated_candidate,1,20,0.159,6.3
intraday_oi_time_centroid_20d,validated_candidate,-1,20,-0.22,5.85
intraday_wash_trade_20d,validated_candidate,1,20,0.213,5.54
intraday_settle_position_20d,validated_candidate,-1,20,-0.126,5.05
intraday_cross_vol_20d,validated_candidate,1,20,0.155,4.13
intraday_amihud_vol_ratio_20d,validated_candidate,1,20,0.096,4.12
intraday_oi_skew_stability_20d,validated_candidate,-1,20,-0.148,3.66
intraday_depth_trend_20d,validated_candidate,1,20,0.106,3.57
intraday_open_close_volume_ratio_20d,validated_candidate,-1,20,-0.088,3.39
intraday_oi_quantile_range_20d,validated_candidate,-1,20,-0.122,3.3
intraday_settle_gap_20d,validated_candidate,1,10,0.096,3.26
intraday_amihud_trend_20d,validated_candidate,1,5,0.056,3.14
intraday_price_delay_20d,validated_candidate,-1,20,-0.1,2.96
intraday_overnight_absorption_20d,validated_candidate,1,20,0.121,2.87
intraday_session_symmetry_20d,validated_candidate,-1,10,-0.069,2.81
intraday_lowest_time_20d,validated_candidate,1,20,0.119,2.79
intraday_oi_peak_ridge_ratio_20d,validated_candidate,-1,5,-0.068,2.75
intraday_seat_long_short_seat_ratio_20d,validated_candidate,1,10,0.066,2.7
intraday_volume_rank_ratio_20d,validated_candidate,1,20,0.064,2.7
intraday_herding_20d,validated_candidate,1,20,0.159,2.69
intraday_volume_time_shape_20d,validated_candidate,1,20,0.079,2.67
intraday_extreme_freq_balance_20d,validated_candidate,-1,10,-0.045,2.51
intraday_term_vol_ratio_20d,validated_candidate,1,10,0.103,2.31
intraday_turnover_velocity_20d,validated_candidate,1,20,0.163,2.28
intraday_settle_close_basis_20d,validated_candidate,-1,20,-0.141,3.39
intraday_settle_drift_20d,validated_candidate,1,20,0.138,3.33
intraday_settle_vol_ratio_20d,validated_candidate,1,20,0.079,2.57
intraday_term_slope_20d,validated_candidate,1,20,0.106,3.62
intraday_oi_log_change_vol_20d,validated_candidate,-1,20,-0.107,3.51
intraday_term_roll_yield_20d,validated_candidate,1,20,0.126,3.44
intraday_term_vol_spread_20d,validated_candidate,-1,5,-0.048,3.1
intraday_oi_vol_price_corr_20d,validated_candidate,-1,20,-0.126,2.72
intraday_term_spread_vol_20d,validated_candidate,1,5,0.042,2.66
intraday_rollover_basis_gap_20d,validated_candidate,1,20,0.126,5.26
intraday_basis_momentum_20d,validated_candidate,1,20,0.136,4.18
intraday_roll_yield_dualscore_20d,validated_candidate,-1,10,-0.061,2.46
intraday_roll_dualscore_consistency_20d,validated_candidate,-1,10,-0.056,2.39
intraday_amihud_resid_vol_20d,validated_candidate,1,20,0.186,5.74
intraday_volume_oi_price_confirm_20d,validated_candidate,1,20,0.145,4.06
intraday_amihud_cross_z_20d,validated_candidate,1,20,0.172,4.05
intraday_overnight_gap_reaction_20d,validated_candidate,1,20,0.217,3.81
intraday_false_breakout_retrace_20d,validated_candidate,1,20,0.183,3.8
intraday_ma_count_bullish_20d,validated_candidate,1,20,0.099,3.03
intraday_rv_compression_breakout_20d,validated_candidate,-1,20,-0.054,2.9
intraday_lead_amount_surge_20d,new_candidate,-1,20,-0.19,-7.11
intraday_price_diff_autocorr_20d,new_candidate,-1,20,-0.19,-5.02
intraday_diff_autocorr_long_20d,new_candidate,1,20,0.18,4.81
intraday_order_flow_autocorr_20d,new_candidate,1,20,0.2,4.64
intraday_vp_corr_high_freq_20d,new_candidate,1,20,0.16,4.56
intraday_peak_moment_count_20d,new_candidate,-1,20,-0.2,-4.44
intraday_order_flow_memory_20d,new_candidate,1,20,0.17,4.33
intraday_jump_ret_follow_ratio_20d,new_candidate,1,10,0.13,4.14
intraday_neg_ret_illiq_20d,new_candidate,-1,20,-0.15,-3.85
intraday_ret_extreme_magnitude_20d,new_candidate,1,20,0.17,3.74
intraday_peak_ridge_coherence_20d,new_candidate,-1,20,-0.15,-3.69
intraday_smart_money_v4_vol_20d,new_candidate,1,20,0.14,3.65
intraday_torrent_down_20d,new_candidate,-1,20,-0.06,-3.35
intraday_jump_amount_lagcorr_20d,new_candidate,1,20,0.14,3.32
intraday_csad_sigma120_20d,new_candidate,1,20,0.11,3.03
intraday_vol_bucket_entropy_20d,new_candidate,1,10,0.06,2.88
intraday_trajectory_illiq_20d,new_candidate,-1,20,-0.14,-2.78
intraday_vol_flow_vol_20d,new_candidate,1,20,0.1,2.74
intraday_price_peak_interval_std_20d,new_candidate,1,5,0.07,2.73
intraday_following_price_confirm_20d,new_candidate,1,5,0.06,2.71
intraday_flow_ret_resid_vol_20d,new_candidate,1,10,0.09,2.64
intraday_sector_vol_div_20d,marginal_watch,1,20,0.131,2.84
intraday_rel_turnover_20d,marginal_watch,-1,20,-0.047,2.23
intraday_rel_volume_percentile_20d,marginal_watch,-1,20,-0.036,2.15
intraday_vol_ret_cov_20d,marginal_watch,-1,20,-0.073,2.13
