date,symbol,weight
2025-02-06,A,0.1
2025-02-06,AG,0.1
2025-02-06,AL,0.1
2025-02-06,AU,0.1
2025-02-06,FU,0.1
2025-02-06,HC,0.1
2025-02-06,I,0.1
2025-02-06,IC,0.1
2025-02-06,IF,0.1
2025-02-06,IH,0.1
2025-02-06,A,-0.1
2025-02-06,AG,-0.1
2025-02-06,AL,-0.1
2025-02-06,AU,-0.1
2025-02-06,FU,-0.1
2025-02-06,HC,-0.1
2025-02-06,I,-0.1
2025-02-06,IC,-0.1
2025-02-06,IF,-0.1
2025-02-06,IH,-0.1
2025-02-07,A,0.1
2025-02-07,AG,0.1
2025-02-07,AL,0.1
2025-02-07,AU,0.1
2025-02-07,FU,0.1
2025-02-07,HC,0.1
2025-02-07,I,0.1
2025-02-07,IC,0.1
2025-02-07,IF,0.1
2025-02-07,IH,0.1
2025-02-07,A,-0.1
2025-02-07,AG,-0.1
2025-02-07,AL,-0.1
2025-02-07,AU,-0.1
2025-02-07,FU,-0.1
2025-02-07,HC,-0.1
2025-02-07,I,-0.1
2025-02-07,IC,-0.1
2025-02-07,IF,-0.1
2025-02-07,IH,-0.1
2025-02-10,A,0.1
2025-02-10,AG,0.1
2025-02-10,AL,0.1
2025-02-10,AU,0.1
2025-02-10,FU,0.1
2025-02-10,HC,0.1
2025-02-10,I,0.1
2025-02-10,IC,0.1
2025-02-10,IF,0.1
2025-02-10,IH,0.1
2025-02-10,A,-0.1
2025-02-10,AG,-0.1
2025-02-10,AL,-0.1
2025-02-10,AU,-0.1
2025-02-10,FU,-0.1
2025-02-10,HC,-0.1
2025-02-10,I,-0.1
2025-02-10,IC,-0.1
2025-02-10,IF,-0.1
2025-02-10,IH,-0.1
2025-02-11,A,0.1
2025-02-11,AG,0.1
2025-02-11,AL,0.1
2025-02-11,AU,0.1
2025-02-11,FU,0.1
2025-02-11,HC,0.1
2025-02-11,I,0.1
2025-02-11,IC,0.1
2025-02-11,IF,0.1
2025-02-11,IH,0.1
2025-02-11,A,-0.1
2025-02-11,AG,-0.1
2025-02-11,AL,-0.1
2025-02-11,AU,-0.1
2025-02-11,FU,-0.1
2025-02-11,HC,-0.1
2025-02-11,I,-0.1
2025-02-11,IC,-0.1
2025-02-11,IF,-0.1
2025-02-11,IH,-0.1
2025-02-12,A,0.1
2025-02-12,AG,0.1
2025-02-12,AL,0.1
2025-02-12,AU,0.1
2025-02-12,FU,0.1
2025-02-12,HC,0.1
2025-02-12,I,0.1
2025-02-12,IC,0.1
2025-02-12,IF,0.1
2025-02-12,IH,0.1
2025-02-12,A,-0.1
2025-02-12,AG,-0.1
2025-02-12,AL,-0.1
2025-02-12,AU,-0.1
2025-02-12,FU,-0.1
2025-02-12,HC,-0.1
2025-02-12,I,-0.1
2025-02-12,IC,-0.1
2025-02-12,IF,-0.1
2025-02-12,IH,-0.1
2025-02-13,A,0.1
2025-02-13,AG,0.1
2025-02-13,AL,0.1
2025-02-13,AU,0.1
2025-02-13,FU,0.1
2025-02-13,HC,0.1
2025-02-13,I,0.1
2025-02-13,IC,0.1
2025-02-13,IF,0.1
2025-02-13,IH,0.1
2025-02-13,A,-0.1
2025-02-13,AG,-0.1
2025-02-13,AL,-0.1
2025-02-13,AU,-0.1
2025-02-13,FU,-0.1
2025-02-13,HC,-0.1
2025-02-13,I,-0.1
2025-02-13,IC,-0.1
2025-02-13,IF,-0.1
2025-02-13,IH,-0.1
2025-02-14,A,0.1
2025-02-14,AG,0.1
2025-02-14,AL,0.1
2025-02-14,AU,0.1
2025-02-14,FU,0.1
2025-02-14,HC,0.1
2025-02-14,I,0.1
2025-02-14,IC,0.1
2025-02-14,IF,0.1
2025-02-14,IH,0.1
2025-02-14,A,-0.1
2025-02-14,AG,-0.1
2025-02-14,AL,-0.1
2025-02-14,AU,-0.1
2025-02-14,FU,-0.1
2025-02-14,HC,-0.1
2025-02-14,I,-0.1
2025-02-14,IC,-0.1
2025-02-14,IF,-0.1
2025-02-14,IH,-0.1
2025-02-17,A,0.1
2025-02-17,AG,0.1
2025-02-17,AL,0.1
2025-02-17,AU,0.1
2025-02-17,FU,0.1
2025-02-17,HC,0.1
2025-02-17,I,0.1
2025-02-17,IC,0.1
2025-02-17,IF,0.1
2025-02-17,IH,0.1
2025-02-17,A,-0.1
2025-02-17,AG,-0.1
2025-02-17,AL,-0.1
2025-02-17,AU,-0.1
2025-02-17,FU,-0.1
2025-02-17,HC,-0.1
2025-02-17,I,-0.1
2025-02-17,IC,-0.1
2025-02-17,IF,-0.1
2025-02-17,IH,-0.1
2025-02-18,A,0.1
2025-02-18,AG,0.1
2025-02-18,AL,0.1
2025-02-18,AU,0.1
2025-02-18,FU,0.1
2025-02-18,HC,0.1
2025-02-18,I,0.1
2025-02-18,IC,0.1
2025-02-18,IF,0.1
2025-02-18,IH,0.1
2025-02-18,A,-0.1
2025-02-18,AG,-0.1
2025-02-18,AL,-0.1
2025-02-18,AU,-0.1
2025-02-18,FU,-0.1
2025-02-18,HC,-0.1
2025-02-18,I,-0.1
2025-02-18,IC,-0.1
