date,symbol,weight
2025-01-16,AU,0.295508
2025-01-16,AG,0.102407
2025-01-16,IH,0.110567
2025-01-16,IF,0.091338
2025-01-16,SN,0.110108
2025-01-16,A,0.096945
2025-01-16,IC,0.056725
2025-01-16,OI,0.0529
2025-01-16,Y,0.048241
2025-01-16,RU,0.035262
2025-01-16,I,-0.013431
2025-01-16,UR,-0.023547
2025-01-16,SA,-0.013179
2025-01-16,RM,-0.012511
2025-01-16,V,-0.020154
2025-01-16,LH,-0.026077
2025-01-16,JM,-0.009964
2025-01-16,CF,-0.075925
2025-01-16,J,-0.010816
2025-01-16,TS,-0.794394
2025-01-17,AU,0.204369
2025-01-17,AG,0.071228
2025-01-17,SN,0.092339
2025-01-17,IH,0.094466
2025-01-17,IF,0.093392
2025-01-17,OI,0.038104
2025-01-17,A,0.062604
2025-01-17,Y,0.034582
2025-01-17,TL,0.280245
2025-01-17,RU,0.028672
2025-01-17,I,-0.013455
2025-01-17,UR,-0.019733
2025-01-17,LH,-0.026027
2025-01-17,SA,-0.012474
2025-01-17,RM,-0.012328
2025-01-17,V,-0.021494
2025-01-17,CF,-0.072443
2025-01-17,JM,-0.009833
2025-01-17,TS,-0.801411
2025-01-17,J,-0.010802
2025-01-20,AU,0.201572
2025-01-20,AG,0.070124
2025-01-20,IH,0.097296
2025-01-20,IF,0.095989
2025-01-20,SN,0.089138
2025-01-20,OI,0.038948
2025-01-20,A,0.061155
2025-01-20,TL,0.278293
2025-01-20,Y,0.038452
2025-01-20,RU,0.029033
2025-01-20,I,-0.013308
2025-01-20,UR,-0.019832
2025-01-20,RM,-0.012667
2025-01-20,LH,-0.025215
2025-01-20,SA,-0.011956
2025-01-20,CF,-0.072556
2025-01-20,V,-0.020772
2025-01-20,J,-0.010269
2025-01-20,JM,-0.009294
2025-01-20,TS,-0.80413
2025-01-21,AU,0.213467
2025-01-21,AG,0.078496
2025-01-21,IH,0.124807
2025-01-21,SN,0.080276
2025-01-21,IF,0.116187
2025-01-21,A,0.073096
2025-01-21,OI,0.037784
2025-01-21,TL,0.213799
2025-01-21,Y,0.039047
2025-01-21,SC,0.023041
2025-01-21,I,-0.01357
2025-01-21,UR,-0.02021
2025-01-21,RM,-0.013023
2025-01-21,LH,-0.024272
2025-01-21,SA,-0.012535
2025-01-21,CF,-0.075651
2025-01-21,V,-0.020948
2025-01-21,J,-0.0101
2025-01-21,JM,-0.009267
2025-01-21,TS,-0.800426
2025-01-22,AU,0.231207
2025-01-22,AG,0.081057
2025-01-22,SN,0.069241
2025-01-22,IH,0.10694
2025-01-22,IF,0.114255
2025-01-22,A,0.081398
2025-01-22,OI,0.03908
2025-01-22,TL,0.214671
2025-01-22,Y,0.040154
2025-01-22,SC,0.021995
2025-01-22,I,-0.0137
2025-01-22,UR,-0.021828
2025-01-22,CF,-0.071457
2025-01-22,LH,-0.024652
2025-01-22,RM,-0.013189
2025-01-22,SA,-0.012785
2025-01-22,V,-0.021082
2025-01-22,J,-0.010297
2025-01-22,JM,-0.009349
2025-01-22,TS,-0.80166
2025-01-23,AU,0.254487
2025-01-23,AG,0.07075
2025-01-23,SN,0.064593
2025-01-23,IH,0.108897
2025-01-23,IF,0.097989
2025-01-23,A,0.059532
2025-01-23,TL,0.231271
2025-01-23,OI,0.039468
2025-01-23,Y,0.03624
2025-01-23,RU,0.036772
2025-01-23,I,-0.015423
2025-01-23,UR,-0.022688
2025-01-23,LH,-0.028281
2025-01-23,RM,-0.013999
2025-01-23,CF,-0.058203
2025-01-23,V,-0.018229
2025-01-23,SA,-0.014528
2025-01-23,J,-0.011279
2025-01-23,TS,-0.807504
2025-01-23,JM,-0.009866
2025-01-24,AU,0.249541
2025-01-24,AG,0.069985
2025-01-24,SN,0.074616
2025-01-24,IF,0.087271
2025-01-24,IH,0.101753
2025-01-24,A,0.065008
2025-01-24,OI,0.040257
2025-01-24,TL,0.227754
2025-01-24,Y,0.043657
2025-01-24,RU,0.040158
2025-01-24,I,-0.015654
2025-01-24,UR,-0.022401
2025-01-24,LH,-0.028999
2025-01-24,RM,-0.013675
2025-01-24,CF,-0.051071
2025-01-24,V,-0.018456
2025-01-24,SA,-0.014394
2025-01-24,J,-0.011185
2025-01-24,JM,-0.010066
2025-01-24,TS,-0.8141
2025-01-27,AU,0.242228
2025-01-27,AG,0.068401
2025-01-27,SN,0.077013
2025-01-27,IH,0.100015
2025-01-27,IF,0.08297
2025-01-27,A,0.065648
2025-01-27,OI,0.041797
2025-01-27,TL,0.234844
2025-01-27,RU,0.041537
2025-01-27,Y,0.045547
2025-01-27,I,-0.017141
2025-01-27,UR,-0.025038
2025-01-27,LH,-0.030983
2025-01-27,RM,-0.015987
2025-01-27,V,-0.018428
2025-01-27,CF,-0.051764
2025-01-27,SA,-0.017183
2025-01-27,J,-0.01176
2025-01-27,JM,-0.010991
