date,symbol,weight
2024-01-02,A,0.05
2024-01-02,AG,0.05
2024-01-02,AL,0.05
2024-01-02,AU,0.05
2024-01-02,FU,0.05
2024-01-02,HC,0.05
2024-01-02,I,0.05
2024-01-02,IC,0.05
2024-01-02,IF,0.05
2024-01-02,IH,0.05
2024-01-02,A,-0.05
2024-01-02,AG,-0.05
2024-01-02,AL,-0.05
2024-01-02,AU,-0.05
2024-01-02,FU,-0.05
2024-01-02,HC,-0.05
2024-01-02,I,-0.05
2024-01-02,IC,-0.05
2024-01-02,IF,-0.05
2024-01-02,IH,-0.05
2024-01-03,A,0.05
2024-01-03,AG,0.05
2024-01-03,AL,0.05
2024-01-03,AU,0.05
2024-01-03,FU,0.05
2024-01-03,HC,0.05
2024-01-03,I,0.05
2024-01-03,IC,0.05
2024-01-03,IF,0.05
2024-01-03,IH,0.05
2024-01-03,A,-0.05
2024-01-03,AG,-0.05
2024-01-03,AL,-0.05
2024-01-03,AU,-0.05
2024-01-03,FU,-0.05
2024-01-03,HC,-0.05
2024-01-03,I,-0.05
2024-01-03,IC,-0.05
2024-01-03,IF,-0.05
2024-01-03,IH,-0.05
2024-01-04,A,0.05
2024-01-04,AG,0.05
2024-01-04,AL,0.05
2024-01-04,AU,0.05
2024-01-04,FU,0.05
2024-01-04,HC,0.05
2024-01-04,I,0.05
2024-01-04,IC,0.05
2024-01-04,IF,0.05
2024-01-04,IH,0.05
2024-01-04,A,-0.05
2024-01-04,AG,-0.05
2024-01-04,AL,-0.05
2024-01-04,AU,-0.05
2024-01-04,FU,-0.05
2024-01-04,HC,-0.05
2024-01-04,I,-0.05
2024-01-04,IC,-0.05
2024-01-04,IF,-0.05
2024-01-04,IH,-0.05
2024-01-05,IC,0.05
2024-01-05,IF,0.05
2024-01-05,IH,0.05
2024-01-05,FU,0.05
2024-01-05,CU,0.05
2024-01-05,AG,0.05
2024-01-05,A,0.05
2024-01-05,AU,0.05
2024-01-05,MA,0.05
2024-01-05,P,0.05
2024-01-05,A,-0.05
2024-01-05,AG,-0.05
2024-01-05,AL,-0.05
2024-01-05,AU,-0.05
2024-01-05,FU,-0.05
2024-01-05,HC,-0.05
2024-01-05,I,-0.05
2024-01-05,J,-0.05
